A	B	C	TIME
56122	2.30042e+06	2.29868e+06	1.57145
2.30213e+06	9.02039e+06	9.01333e+06	2.57093
2.12062e+06	5.13187e+06	5.09624e+06	1.64184
3.09575e+06	7.17571e+07	7.08845e+07	40.5574
791310	1.53636e+07	1.53018e+07	5.26785
10863	866448	866343	0.531603
6712	148010	148006	0.132481
4.9986e+06	1.23229e+07	1.21956e+07	4.28158
2.83672e+06	7.57077e+07	7.50038e+07	43.3311
215092	1.00432e+07	1.0002e+07	5.39606
808912	4.92185e+07	4.86243e+07	27.1334
44151	1.0242e+06	1.02413e+06	0.23665
2.3608e+06	1.57404e+08	1.55777e+08	56.5491
38126	3.08624e+06	3.08566e+06	2.23535
268098	1.54051e+07	1.53445e+07	8.49249
958598	3.20073e+07	3.18714e+07	10.4039
33792	250465	250160	0.158289
499408	3.28282e+07	3.20257e+07	17.7379
892737	1.30209e+07	1.29601e+07	4.35667
960931	5.99411e+07	5.92515e+07	34.02
279714	1.68626e+07	1.67168e+07	9.55726
121872	6.03804e+06	6.03351e+06	3.5796
403228	4.29259e+06	4.28136e+06	1.43434
373635	8.43186e+06	8.41604e+06	2.64301
877	59486.8	59485.7	0.594122
471395	9.82371e+06	9.65175e+06	5.08813
110478	59552.5	59552	0.069619
823410	5.60162e+07	5.51926e+07	31.4005
1.44569e+06	3.78662e+07	3.73903e+07	12.957
1.58561e+06	1.31896e+08	1.30177e+08	77.2374
3.53504e+06	1.77941e+07	1.7745e+07	5.72569
1.06762e+06	2.51121e+07	2.49754e+07	8.42189
30212	625156	624960	0.292863
885638	4.24272e+06	4.23859e+06	1.22269
141118	2.17155e+06	2.17099e+06	1.13091
432414	843907	841528	0.240104
52216	314107	313968	0.073918
760030	1.4763e+07	1.46937e+07	8.18547
4.33018e+06	2.64973e+07	2.64453e+07	15.494
1.09156e+06	1.17998e+07	1.17272e+07	3.87888
44414	1.36586e+06	1.36293e+06	0.67993
502471	7.97657e+06	7.96755e+06	4.32996
1.41642e+06	2.29362e+07	2.28127e+07	7.55039
1.66131e+06	4.07975e+07	4.05356e+07	14.0571
711439	4.54255e+06	4.53351e+06	1.49952
